CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1019562,Golden Elm,Ulmus glabra,Ulmus,Ulmaceae,23,1900,2/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.79706197462379, 144.95750769363838)",-37.79706197,144.9575077,320172.02,5814736.11
1061259,Chinese Elm,Ulmus parvifolia,Ulmus,Ulmaceae,34,2000,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.82321283424985, 144.9601434719758)",-37.82321283,144.9601435,320467.47,5811839.32
1063351,London Plane,Platanus x acerifolia,Platanus,Platanaceae,NA,2000,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.79513110052063, 144.92607906314674)",-37.7951311,144.9260791,317399.88,5814889.42
1033631,Canary Island Date Palm,Phoenix canariensis,Phoenix,Arecaceae,76,1900,2/1/00,Mature,31-60 years,60,NA,Park,30/9/20,"(-37.82176628156469, 144.97021326060258)",-37.82176628,144.9702133,321350.34,5812019.15
1061130,Smooth-barked apple,Angophora costata,Angophora,Myrtaceae,32,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.82853847337387, 144.96571479649515)",-37.82853847,144.9657148,320970.74,5811259.05
1029167,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,34,1900,2/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.83508071937146, 144.98055371761134)",-37.83508072,144.9805537,322292.49,5810561.43
1036609,Green Honey Locust,Gleditsia triacanthos,Gleditsia,Fabaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.80118947041334, 144.9704716645358)",-37.80118947,144.9704717,321323.48,5814302.97
1040097,English Elm,Ulmus procera,Ulmus,Ulmaceae,127,1900,2/1/00,Mature,21-30 years,30,NA,Park,30/9/20,"(-37.81352427447394, 144.97745980351323)",-37.81352427,144.9774598,321968.4,5812947.57
1062068,Horse Chestnut,Aesculus hippocastanum,Aesculus,Sapindaceae,18,2000,1/1/00,Semi-Mature,6-10 years (<50% canopy),10,NA,Park,30/9/20,"(-37.81024676037894, 144.97948491215345)",-37.81024676,144.9794849,322138.81,5813315.12
1058935,Chinese Elm,Ulmus parvifolia,Ulmus,Ulmaceae,8,2000,17/5/00,Juvenile,1-5 years (<50% canopy),5,NA,Street,30/9/20,"(-37.81349303123201, 144.9896069133824)",-37.81349303,144.9896069,323037.67,5812974.12
